Date,Project_ID,Region,Project_Type,Contractor_Tier,Planned_Budget_K,Actual_Cost_K,Budget_Variance_Pct,Sensor_Vibration_mm_s,Sensor_Temp_C,Efficiency_Score,Material_Price_Index,,
2023-01-01 00:00:00,PROJ-1000,North America,Renewable Energy,Tier 3,2032.71875,2095.845956,3.105555375,4.775256357,63.90072888,64.14403131,100,,
2023-01-01 00:00:00,PROJ-1001,LATAM,Industrial Plant,Tier 1,822.7034998,839.7710298,2.074566351,1.779237917,46.5028584,83.03124476,100.0583815,,
2023-01-01 00:00:00,PROJ-1002,APAC,Oil & Gas,Tier 1,2343.330027,2501.768017,6.761232453,2.303335873,50.98555834,81.51355783,100.1167601,,
2023-01-01 00:00:00,PROJ-1003,North America,Industrial Plant,Tier 2,1900.478728,1966.592256,3.478782872,3.341599218,59.4481998,72.5235659,100.1751329,,
2023-01-02 00:00:00,PROJ-1004,North America,Renewable Energy,Tier 2,3547.042879,3508.019596,-1.100163829,3.501433253,59.90576541,70.70357921,100.233497,,
2023-01-02 00:00:00,PROJ-1005,LATAM,Industrial Plant,Tier 3,3226.006623,3390.169628,5.088737403,2.89661065,54.41849946,76.79571941,100.2918495,,
2023-01-02 00:00:00,PROJ-1006,APAC,Renewable Energy,,2140.671777,2123.628372,-0.7961708541,6.535068958,72.50117534,44.3169349,100.3501875,,
2023-01-02 00:00:00,PROJ-1007,APAC,Industrial Plant,Tier 2,1480.516494,1665.581102,12.50000312,3.473302286,61.12626053,75.30112302,100.4085081,,
2023-01-03 00:00:00,PROJ-1008,North America,Renewable Energy,Tier 2,4946.161848,4766.378745,-3.634800245,4.25149812,62.29900284,60.60558451,100.4668084,,
2023-01-03 00:00:00,PROJ-1009,EMEA,Renewable Energy,Tier 3,2543.007295,2622.470203,3.124761278,3.080732379,54.74804897,76.97343451,100.5250855,,
2023-01-03 00:00:00,PROJ-1010,North America,Renewable Energy,Tier 2,3597.234061,3892.624234,8.211591677,1.029348737,42.29470745,90.78560255,100.5833366,,
2023-01-03 00:00:00,PROJ-1011,North America,Oil & Gas,Tier 2,1132.488354,1213.7718,7.177419995,1.463792769,48.10671028,84.77688316,100.6415586,,
2023-01-04 00:00:00,PROJ-1012,North America,Industrial Plant,Tier 1,2685.153648,2795.868924,4.12323799,0.8318206934,45.81775101,93.95258456,100.6997488,,
